molecule;mass;abundance;output;resolution;adduct;charge;mult;type;threshold;fraction;is_ppm;dmz;calcSum;monoMass
C24H43ClNOP2Ru;564.155937086;0.0657511162896694;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;564.156114916;0.0559670509065693;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;564.158400986;1.03303079642901;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;564.159970896;0.121280448415164;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;564.161322892;0.0410748420900276;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;564.162434796;1.90546480862209;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;564.162988626;0.044304733315449;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;564.165356702;0.0757641169971023;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;564.168060776;0.0145409535125628;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;565.149809966;0.0689855390565481;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;565.156129846;4.90162376414375;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;565.159051752;0.093387598015728;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;565.159291926;0.0170675090095897;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;565.161755826;0.0819351896894734;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;565.163325736;0.0314816730546994;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;565.165789636;0.151132590703744;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;566.153164806;0.017907092317519;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
