x,.,.(SD)
2983,0.022506501841734187,0
2986,0.02667266184376549,0
2989,0.028572248305671226,0
2992,0.02976488176645699,0
2995,0.031153944711026015,0
2998,0.02796412946278488,0
3001,0.026977039500781286,0
3004,0.02116314349761979,0
3007,0.01726522939287816,0
3010,0.016809992945069747,0
3013,0.015157255730146072,0
3016,0.012377396713210495,0
3019,0.0072137895578145254,0
3022,0.0019832352594241934,0
3025,0.00048448503939131155,0
3028,-0.00027409684118946074,0
3031,0.0020391128046502133,0
3034,0.0004925894764389463,0
3037,-0.00057231608125554,0
3040,-0.000017338631571796806,0
3043,-0.0002807617041905089,0
3046,0.0003397880843219714,0
