Wavenumbercm-1,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M
1602,1.954499037497778,1.6544807550625467,1.461664340402683,1.3375270090322893,1.2204805478818466,1.0956116303133918,0.9694992465734519
1600,1.7363975263528852,1.4632055644101987,1.2818803139180446,1.167162741915698,1.054215684416254,0.9373824820568621,0.8255607889550765
1598,1.5320604537582245,1.2879883695371437,1.1215079260366747,1.0197560960738257,0.9167458124695852,0.8113270646774571,0.7182277083079422
1596,1.3586650336475985,1.1423238845181183,0.9924250571575189,0.9045836663335277,0.8114489464667125,0.7198309579970614,0.644108978554552
1594,1.187852530958621,0.9992618827114805,0.8694280652382971,0.7934666610448223,0.7033146952150563,0.6257468513706018,0.5627360731853176
1592,1.0111310634894155,0.8472671581821706,0.7371609664851394,0.668637539173036,0.5733317860158021,0.5061566737718516,0.4503655939944362
1590,0.8568584057048603,0.7096033931227012,0.6114234403043024,0.5464866631623838,0.44418077371646836,0.38234733233022317,0.3290386189821023
1588,0.7345539845364399,0.5992698407887741,0.5063132777163875,0.44463684179168655,0.33985328655966257,0.28120832579104377,0.22926954062406985
1586,0.6267790367025835,0.5058994751203562,0.42046241154755826,0.3651633553676962,0.2641712313855246,0.2104004780576044,0.16585148925963247
1584,0.5287917975566055,0.42465940953793907,0.35396577629781173,0.30961748106362186,0.2182454643811462,0.17358082904889144,0.14698292356262704
1582,0.4527334480068618,0.3661902396793468,0.3165222740859733,0.28908455377152925,0.21465340861606907,0.1852606348761743,0.18600877020039422
1580,0.40548225863617593,0.3420910642641683,0.3198003061563553,0.31709799715359777,0.26836348972052754,0.26105990931916173,0.29579835013369044
1578,0.382205079565438,0.35003177032361427,0.3585841200861198,0.38480123474606237,0.36442849720056497,0.38025313090791757,0.44870585340362834
1576,0.36719357881449183,0.3626280983109825,0.39378768175743323,0.4414648546434381,0.4390349926410404,0.4677034391742044,0.5573995945915622
1574,0.3507327824618157,0.3586620491989411,0.39864153813897896,0.45663744699457265,0.46047229317019733,0.4914863595974073,0.5881894913749115
