Wavenumbercm-1,0.00e+00 M,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M,0.00e+00 M
2798,-0.00040684507192464,-0.002213412926889325,-0.0025749648579682,-0.002820920869909234,-0.0031191338292843335,-0.0035206685185637334,-0.0040722410451699,-0.0044541109294862,-0.00109364204818495
2796,-0.00040996389671318,-0.00219560516538765,-0.00254846953821195,-0.0028146711736047997,-0.0030799694661062665,-0.003498898431182033,-0.004026145945930434,-0.004389408920028567,-0.001075242718229875
2794,-0.00041381449581071993,-0.00221239941458325,-0.0025457810597446498,-0.0028220049548684668,-0.0030621897992849333,-0.0034684871615339994,-0.0039881874360699005,-0.0043449882051212335,-0.0010550068110862002
2792,-0.00041685827829934,-0.0022253960957306002,-0.0025385550569811,-0.002821692236283467,-0.0030446839693757002,-0.003432325103121367,-0.003963707128552333,-0.0043226077775301,-0.0010255104949226748
2790,-0.00041525997362816,-0.0022241994894569746,-0.0025400333908105997,-0.0028131439445971663,-0.003021048663421767,-0.0034189418761102334,-0.0039630431485928,-0.0043188426700435665,-0.0010013040937394248
2788,-0.00040802379637740004,-0.002222135040521425,-0.002563228188207,-0.002807865993308066,-0.003007323748819467,-0.0034393706884675336,-0.003983507764715867,-0.0043366129019704,-0.0010045367120095003
2786,-0.00040163849028650004,-0.002222935404087125,-0.0025731978432586003,-0.0028022264800564,-0.0030097894255169664,-0.0034656429961101667,-0.0040010852412704,-0.0043685483336274,-0.001026134902011425
2784,-0.00040371444055148,-0.00222266185316425,-0.0025382395508064997,-0.0027914189284914664,-0.0030161039955328667,-0.0034709608130720003,-0.004001869033509966,-0.004391017207083466,-0.0010329373656682251
2782,-0.00041187370673556004,-0.0022262131888808497,-0.0024955528668866,-0.002791811016211667,-0.0030202390464016,-0.0034631268391566335,-0.0040008085933197005,-0.0043855518851606,-0.00101600807776665
2780,-0.00041627431530176,-0.002236549597271,-0.00250515999875515,-0.002817818077755133,-0.003031830851745467,-0.003461357423814333,-0.004009709549545867,-0.0043557752682811994,-0.0009992871113476002
2778,-0.0004140048000444801,-0.00224682085372905,-0.00256138673906505,-0.002854510910163367,-0.003057665154525034,-0.0034691542299586,-0.004012822146307267,-0.004320763191574133,-0.0009962261387003997
2776,-0.00041275775793728003,-0.0022618816958118997,-0.0026091206334922998,-0.0028806167865730336,-0.0030931857408325668,-0.003485600448060766,-0.003997476988357066,-0.004298988825527333,-0.0009905941413050003
2774,-0.00041875712307212,-0.0022989659624295,-0.0026269272476806497,-0.0028956255922916335,-0.0031292162824101666,-0.003510879675546466,-0.003978759084538367,-0.0042946780619803,-0.000968657746136675
2772,-0.00042837676155672004,-0.0023456365643883,-0.0026360781908185502,-0.002898892611846533,-0.0031475045518461003,-0.0035248089974021664,-0.003967689038228334,-0.0042913622187316,-0.0009417925529518748
2770,-0.00043495699613614006,-0.0023542718758668,-0.00264349396478435,-0.002874074705363333,-0.0031243555825061337,-0.003498436788357233,-0.003949140354965834,-0.004268555674318867,-0.0009230687675182251
2768,-0.00043788953070276,-0.002307328101593375,-0.0026348648052025,-0.0028255992017463664,-0.0030655593766013,-0.003446726173464467,-0.003919521739996533,-0.004233123471346234,-0.0009060392524943999
2766,-0.00044086409076328,-0.002253191384997975,-0.0026182652912751002,-0.0027984053718596003,-0.0030218171223785335,-0.0034279501424547,-0.0039097384735682994,-0.004217763668167933,-0.0008803394909080998
2764,-0.0004457195643325799,-0.0022461378434304,-0.00262101951923895,-0.0028244786607440667,-0.0030362159898377,-0.0034664019837352,-0.003936992728363366,-0.004238683799466466,-0.0008488675259739999
2762,-0.00045117682945444005,-0.002283185579507975,-0.0026426224077589,-0.0028757736532698335,-0.003088327514119067,-0.0035171524564605004,-0.003968314953487033,-0.0042747177234233,-0.0008203719548048252
2760,-0.00045422002899724,-0.0023307254574573503,-0.00265575274777825,-0.0029052332208286667,-0.0031240954908273006,-0.0035335438897555666,-0.003971033573939534,-0.0042992596215943,-0.0008006043526201248
2758,-0.00045133867624020003,-0.002374442868249525,-0.00265048027075015,-0.0029058127587678006,-0.0031253986223273,-0.0035253201895213333,-0.003965532135028367,-0.004308768915832266,-0.0007947403650123501
